CUISINE_CAT_origin,count,mean,std,min,max,median,cluster
other,409,109.83068459657693,142.5096190917669,20.0,959.666666666666,54.0,1
うどん,51,105.41013071895415,148.0498619489179,20.0833333333333,687.5,52.0,1
うなぎ,60,139.83472222222207,185.8624324786735,20.8333333333333,950.166666666666,45.5,2
おでん,22,76.15151515151507,50.112760656980086,26.3333333333333,225.916666666666,65.12499999999994,0
お好み焼き,141,140.1371158392433,176.4713043061872,20.25,931.583333333333,66.8333333333333,2
かつ丼,13,131.5320512820512,198.67425046831121,20.8333333333333,744.333333333333,47.5,2
しゃぶしゃぶ,42,171.2182539682539,215.27557648769016,20.25,989.166666666666,88.04166666666666,4
すき焼き,23,187.79347826086936,202.63886756981745,20.0,762.5,107.166666666666,4
その他,142,131.41607981220648,149.97760126188106,20.0,782.666666666666,69.0,2
そば,134,89.8134328358208,149.76596933242843,20.0833333333333,912.0,39.66666666666665,1
たこ焼き,19,88.5745614035087,91.93756224132316,20.9166666666666,326.833333333333,46.6666666666666,1
ちゃんこ鍋,16,84.61979166666656,59.55353154274693,24.0833333333333,178.0,52.9583333333333,0
つけ麺,41,142.7439024390243,170.0701289074964,20.0,732.0,73.75,2
とんかつ,112,130.20386904761898,161.0593814537512,20.3333333333333,921.916666666666,74.7083333333333,2
ふぐ,39,63.322649572649496,40.059628342159826,25.25,199.75,50.8333333333333,0
もつ焼き,98,137.21853741496582,168.07629805997485,20.4166666666666,850.75,78.41666666666666,2
もつ鍋,37,87.99999999999993,130.71426523452772,20.3333333333333,599.583333333333,36.25,1
もんじゃ焼き,78,212.27884615384596,215.56118069797225,20.75,898.916666666666,134.583333333333,4
ろばた焼き,16,147.18749999999986,131.48813669906716,44.3333333333333,494.75,70.5833333333333,2
アジア・エスニック,15,50.06666666666665,44.76807739861356,20.0,190.0,38.5833333333333,0
イタリアン,379,98.15083553210192,131.36819643104096,20.0,973.833333333333,52.1666666666666,1
インドカレー,16,68.17187499999996,63.65260511347099,21.1666666666666,260.083333333333,44.37499999999995,0
インド料理,51,93.81209150326792,132.38359020825433,20.0,691.75,34.5833333333333,1
オイスターバー,14,101.25595238095231,129.5433855659754,22.0833333333333,482.833333333333,47.5833333333333,1
カフェ,311,99.34833869239004,130.34267542045313,20.0,889.083333333333,55.6666666666666,1
カレー,45,127.40925925925913,179.78730842203748,20.3333333333333,847.416666666666,56.8333333333333,2
シュラスコ,18,192.30092592592567,181.63545139915442,32.75,703.5,123.833333333333,4
ジンギスカン,43,98.60077519379836,103.85524329677013,20.5,452.75,50.4166666666666,1
ステーキ,117,173.25997150997142,217.09242848398878,20.1666666666666,913.083333333333,85.25,4
スペイン料理,49,102.97448979591823,122.32246229239168,20.25,600.916666666666,55.5833333333333,1
スポーツバー,11,56.560606060606034,30.36287688822146,20.0,106.0,57.25,0
スープカレー,22,69.12499999999996,56.59800199092789,20.5833333333333,215.0,43.99999999999995,0
タイ料理,106,84.6988993710691,121.50425971301047,20.0833333333333,912.25,46.04166666666665,1
ダイニングバー,214,92.77881619937683,115.79764460892504,20.0,801.5,51.3333333333333,1
ダーツ,21,132.5079365079364,168.2063710660085,20.0,708.333333333333,51.3333333333333,2
ハンバーガー,55,184.67575757575747,188.56516150093654,20.25,802.333333333333,102.083333333333,4
ハンバーグ,33,166.4949494949493,181.37790738178464,28.0,739.916666666666,91.5,4
バル,70,111.09761904761892,129.07666255801334,20.0,569.5,56.24999999999995,1
バル・バール,14,87.4166666666665,72.00504493246612,22.4166666666666,228.166666666666,70.7083333333333,0
バー,445,76.0926966292134,97.02158687265619,20.1666666666666,775.5,39.8333333333333,1
パスタ,50,139.4883333333332,163.1186097348696,20.0,938.666666666666,70.41666666666666,2
パブ,26,46.75320512820508,31.389979653538578,20.5833333333333,172.166666666666,35.5416666666666,0
パン,13,145.82692307692292,204.51245508327366,26.6666666666666,714.0,61.5833333333333,2
ビアバー,44,92.37121212121207,128.003254478755,21.6666666666666,667.5,43.25,1
ビアホール,22,53.450757575757514,38.94987841443503,20.0,165.333333333333,42.24999999999995,0
ビストロ,64,64.97135416666657,60.351246680701564,20.0833333333333,337.5,43.8333333333333,0
ピザ,79,139.51476793248932,172.29602796777138,20.0,853.333333333333,72.0833333333333,2
フレンチ,27,64.94135802469124,49.32048848943977,20.8333333333333,222.833333333333,40.4166666666666,0
ベトナム料理,28,88.68154761904756,92.06133348049832,25.1666666666666,453.75,46.41666666666665,1
ホルモン,87,107.02586206896541,108.65413764025585,20.5,522.0,64.0,1
メキシコ料理,29,151.22413793103445,167.49456592619865,20.6666666666666,722.0,90.0,2
ラーメン,572,118.08231351981341,139.20838584670793,20.0,976.0,67.7083333333333,1
レストラン,15,90.22777777777772,105.15528231844034,21.0,419.25,68.9166666666666,1
ワインバー,12,58.17361111111097,38.76565272543392,20.0833333333333,138.166666666666,43.66666666666665,0
中華料理,405,103.69588477366247,139.3840354836573,20.0,975.083333333333,53.5833333333333,1
串揚げ,77,90.22835497835489,88.64302238270831,21.25,581.0,67.5,1
串焼き,23,113.65942028985496,199.2920407231764,21.0,924.166666666666,41.9166666666666,2
台湾料理,16,194.92187499999977,145.23311551238984,56.0,600.0,156.458333333333,4
喫茶店,29,65.27011494252868,64.22459373219633,20.0,280.75,34.9166666666666,0
四川料理,30,71.29444444444438,73.09841137705587,20.5833333333333,360.0,46.29166666666665,0
回転寿司,42,150.1130952380951,150.3760561819654,23.9166666666666,625.916666666666,91.04166666666666,2
天ぷら,54,120.16512345679001,165.09672097727372,20.1666666666666,893.75,50.5833333333333,2
寿司,306,133.35294117647047,184.35338240771296,20.0,994.666666666666,55.37499999999995,2
居酒屋,1718,127.42728948389589,167.11684517125246,20.0,996.0,59.62499999999995,2
懐石・会席料理,13,99.96153846153835,122.18093186090381,25.0833333333333,458.166666666666,50.0,1
担々麺,16,75.38020833333326,70.2684335163562,20.6666666666666,260.916666666666,45.2083333333333,0
日本料理,103,60.57038834951447,54.69403253206818,20.0,340.166666666666,40.0,0
沖縄料理,33,111.37121212121201,148.89474617582243,21.0,775.416666666666,55.0,1
油そば・まぜそば,23,210.4673913043477,186.474796106027,29.0,833.583333333333,175.0,4
洋食,67,170.73880597014903,201.31706324293873,20.25,854.666666666666,90.5,4
海鮮,126,121.87698412698403,162.19938646078148,20.25,916.0,55.75,2
海鮮丼,15,214.161111111111,224.63742273521947,24.75,816.0,160.5,4
焼き鳥,347,126.98390970220927,161.4208327737155,20.0,940.083333333333,62.75,2
焼肉,910,165.8737179487178,177.32996053707674,20.0,967.583333333333,97.79166666666666,4
焼鳥,68,126.5049019607842,138.75185212511374,21.25,818.5,67.8333333333333,2
牛カツ,12,237.06944444444423,212.0821942379759,28.5,693.166666666666,151.083333333333,4
牛タン,59,166.6850282485874,185.608494381946,20.0,860.083333333333,101.5,4
立ち食い寿司,15,306.4277777777777,354.27517926818217,21.0,974.083333333333,84.1666666666666,3
立ち飲み,33,66.53535353535348,58.877978333132276,20.0833333333333,240.0,43.4166666666666,0
郷土料理,12,54.21527777777769,47.90012834925822,20.0,170.333333333333,35.6666666666666,0
鉄板焼き,66,113.36994949494938,176.40129871945925,22.4166666666666,929.833333333333,47.99999999999995,2
韓国料理,116,108.07686781609185,143.90826559690353,21.0,972.333333333333,63.12499999999995,1
食堂,61,99.00546448087425,123.04358971373425,20.1666666666666,643.0,50.5833333333333,1
飲茶・点心,13,219.26923076923063,201.02020223311,24.8333333333333,606.5,145.0,4
餃子,152,109.54276315789461,133.69230237110017,20.0833333333333,875.5,59.3333333333333,1
魚介料理・海鮮料理,23,142.76811594202883,175.37775238939975,21.25,831.916666666666,59.3333333333333,2
鳥料理,44,52.835227272727224,47.610582853907,20.1666666666666,284.833333333333,34.04166666666665,0
