feature,importance
seats_rate_count,33036.87523585558
cuisine_cluster_id,27013.9277946949
AVG_MONTHLY_POPULATION,22851.505699254572
NUM_SEATS,18888.00444638729
NEAREST_STATION_INFO_count,18494.945266246796
RATING_CNT,15495.942424178123
AGE_RESTAURANT,14678.968925714493
rate_count,13491.22419154644
DINNER_PRICE,13079.528916299343
RATING_SCORE,12441.493986397982
CITY_count,12270.476533472538
store_cluster,10873.114843130112
HOLIDAY,10313.026834011078
DISTANCE_VALUE,9112.558761119843
LUNCH_PRICE,5760.187540531158
HOME_PAGE_URL,2663.108043193817
IS_ALONE_FRIENDLY,2541.3283014297485
CUISINE_CAT_1_japanese cuisine,2388.989422559738
IS_FRIEND_FRIENDLY,2266.1074385643005
LUNCH_INFO,2118.054789543152
CUISINE_CAT_1_foreign ethnic cuisine,1230.6822381019592
IS_FAMILY_FRIENDLY,1134.6896250247955
CUISINE_CAT_1_izakaya,734.3233137130737
CUISINE_CAT_1_noodles,724.9982652664185
DINNER_INFO,670.3403997421265
CUISINE_CAT_1_chinese cuisine,627.5628929138184
CUISINE_CAT_1_italian cuisine,464.93338775634766
CUISINE_CAT_1_cafe and coffee shop,391.3123712539673
PHONE_NUM,362.4798436164856
CUISINE_CAT_1_other,162.98152780532837
CUISINE_CAT_1_bread and desert,0.0
CUISINE_CAT_1_cafeteria,0.0
CUISINE_CAT_1_fastfood light meal,0.0
CUISINE_CAT_1_hotel and ryokan,0.0
CUISINE_CAT_1_convenience store,0.0
CUISINE_CAT_1_family restaurant,0.0
CUISINE_CAT_1_restaurant,0.0
