feature,importance
seats_rate_count,3060.514150498435
AVG_MONTHLY_POPULATION,2178.032966196537
NUM_SEATS,1766.728162124753
AGE_RESTAURANT,1467.992875855416
NEAREST_STATION_INFO_count,1453.5502103483304
RATING_CNT,1075.6632760763168
RATING_SCORE,1039.7731607481837
CITY_count,958.9516242742538
DISTANCE_VALUE,891.7350469864905
rate_count,788.5447356272489
DINNER_PRICE,775.5899149924517
cuisine_cluster_id,643.9658554494381
LUNCH_PRICE,587.4908494949341
HOLIDAY,543.1564392447472
HOME_PAGE_URL,423.3405468761921
cuisine_cluster_median_log,323.4368785619736
IS_ALONE_FRIENDLY,311.04210329055786
LUNCH_INFO,296.4088696241379
CUISINE_CAT_1_izakaya,153.25154328346252
IS_FRIEND_FRIENDLY,106.78301185369492
