feature,importance
seats_rate_count,8661.365785301663
cuisine_cluster_id,7077.695883408189
AVG_MONTHLY_POPULATION,4890.7212007720955
NEAREST_STATION_INFO_count,4283.106667055748
RATING_CNT,4281.360653370619
NUM_SEATS,4122.789140722831
RATING_SCORE,3333.2676893936004
store_cluster,3233.1825996935368
AGE_RESTAURANT,3201.8583292718977
DINNER_PRICE,2873.4989344421774
rate_count,2398.4024337157607
HOLIDAY,2395.1490941643715
CITY_count,2156.8914260827005
DISTANCE_VALUE,1512.737096471712
LUNCH_PRICE,1059.5765824913979
HOME_PAGE_URL,738.3717420101166
IS_ALONE_FRIENDLY,578.571647465229
store_cluster_median_log,572.5968726277351
CUISINE_CAT_1_japanese cuisine,317.9084295630455
CUISINE_CAT_1_foreign ethnic cuisine,289.9026093482971
