feature,importance
seats_rate_count,8031.0570372623915
cuisine_origin_median_log,7719.3171344697475
AVG_MONTHLY_POPULATION,5072.268987149
NUM_SEATS,4020.954346001148
RATING_CNT,3678.5348216444254
NEAREST_STATION_INFO_count,3427.096650045365
rate_count,3075.4126742631197
RATING_SCORE,3049.2888608574867
AGE_RESTAURANT,2943.44644844532
city_median_log,2868.81057998538
DINNER_PRICE,2222.525909602642
cuisine_origin_frequency,1919.7131885364652
HOLIDAY,1791.6460415124893
DISTANCE_VALUE,1701.0505257844925
store_cluster,1272.5157279968262
cuisine_cluster_median_log,1223.7385456562042
CITY_count,1206.547226369381
city_frequency,1084.6637570559978
LUNCH_PRICE,1060.8169132471085
cuisine_cluster_id,960.7206613719463
store_cluster_median_log,664.6708617210388
HOME_PAGE_URL,648.7775898873806
IS_ALONE_FRIENDLY,428.6128858923912
IS_FRIEND_FRIENDLY,355.03267301619053
LUNCH_INFO,326.9330960959196
IS_FAMILY_FRIENDLY,281.9921019077301
CUISINE_CAT_1_japanese cuisine,269.437418282032
PHONE_NUM,194.91048473119736
CUISINE_CAT_1_izakaya,94.29808640480042
CUISINE_CAT_1_cafe and coffee shop,87.41691958904266
DINNER_INFO,86.19525992870331
CUISINE_CAT_1_chinese cuisine,74.87956911325455
CUISINE_CAT_1_italian cuisine,57.15182054042816
CUISINE_CAT_1_noodles,36.64204007387161
CUISINE_CAT_1_foreign ethnic cuisine,28.241430163383484
CUISINE_CAT_1_other,1.2166600227355957
CUISINE_CAT_1_fastfood light meal,0.0
CUISINE_CAT_1_hotel and ryokan,0.0
CUISINE_CAT_1_convenience store,0.0
CUISINE_CAT_1_cafeteria,0.0
CUISINE_CAT_1_bread and desert,0.0
CUISINE_CAT_1_family restaurant,0.0
CUISINE_CAT_1_restaurant,0.0
