feature,importance
seats_rate_count,0.09054331432487706
cuisine_origin_median_log,0.07279512438521761
AVG_MONTHLY_POPULATION,0.0720371585693591
RATING_CNT,0.0686233366553887
NUM_SEATS,0.06497704674290077
rate_count,0.06315214827526205
NEAREST_STATION_INFO_count,0.05688164756920819
RATING_SCORE,0.05195137317996213
AGE_RESTAURANT,0.04662596640111499
city_median_log,0.04139598386023547
DISTANCE_VALUE,0.039769577258208615
DINNER_PRICE,0.036140560780198144
city_frequency,0.033892965462436524
cuisine_origin_frequency,0.03378513052095589
CITY_count,0.0337716345502288
LUNCH_PRICE,0.02512842800115872
store_cluster,0.020949826631777937
store_cluster_median_log,0.020715553074304192
cuisine_cluster_median_log,0.018947872914775656
cuisine_cluster_id,0.017666264058112478
HOLIDAY,0.014071658848566667
HOME_PAGE_URL,0.011197065181686339
LUNCH_INFO,0.007860139029830238
IS_FRIEND_FRIENDLY,0.007811261738358872
IS_ALONE_FRIENDLY,0.007337280839396496
IS_FAMILY_FRIENDLY,0.007020765205873892
CUISINE_CAT_1_japanese cuisine,0.006477417629005102
PHONE_NUM,0.00581747884980807
CUISINE_CAT_1_izakaya,0.003984070671938994
DINNER_INFO,0.0031563290643026745
CUISINE_CAT_1_italian cuisine,0.0025192694905848763
CUISINE_CAT_1_chinese cuisine,0.0023805754670586372
CUISINE_CAT_1_foreign ethnic cuisine,0.0023451576175572966
CUISINE_CAT_1_noodles,0.0021557533999576207
CUISINE_CAT_1_cafe and coffee shop,0.0020419483139676644
CUISINE_CAT_1_other,0.0015146077696469224
CUISINE_CAT_1_restaurant,0.000797813947101522
CUISINE_CAT_1_fastfood light meal,0.0006586785254766054
CUISINE_CAT_1_bread and desert,0.0005324435993661709
CUISINE_CAT_1_cafeteria,0.0004982892339109074
CUISINE_CAT_1_hotel and ryokan,7.108236092149726e-05
CUISINE_CAT_1_family restaurant,0.0
CUISINE_CAT_1_convenience store,0.0
